p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.05856676057229e-163	0.174057232595027	0.735	0.551	2.07553184745409e-159	pLOF	IFNGR2
1.55694670581615e-163	0.130433865239168	0.766	0.642	3.05270540609373e-159	pLOF	FBXW11
1.13734188559467e-162	0.181509110349221	0.711	0.529	2.22998623508547e-158	pLOF	NFKB1
1.23176231314853e-162	0.235747397175112	0.572	0.36	2.41511636739032e-158	pLOF	VSTM4
1.70607606922612e-162	0.205707170475255	0.607	0.396	3.34510334893166e-158	pLOF	CST3
4.78855273048153e-162	0.113794697261376	0.926	0.86	9.38891533865514e-158	pLOF	SHB
1.20827881806469e-161	0.221089272174091	0.551	0.319	2.36907227857944e-157	pLOF	FAM84A
2.85503260667833e-161	0.139677378066807	0.831	0.716	5.59786243191421e-157	pLOF	PDLIM5
3.70470690493596e-161	0.139669151164381	0.857	0.76	7.26381882850794e-157	pLOF	MBNL1
1.50780379132216e-160	0.161841456218382	0.771	0.572	2.95635089364536e-156	pLOF	CHST15
2.83096885189308e-159	0.140061615453868	0.861	0.762	5.55068062790677e-155	pLOF	ENPEP
4.46598818374748e-159	0.222227121935656	0.554	0.36	8.75646303187369e-155	pLOF	KIAA1524
9.51765290653676e-159	0.343275867808472	0.272	0.084	1.86612620538466e-154	pLOF	TPSG1
2.26326907339281e-158	0.155743913320903	0.712	0.543	4.43759167220127e-154	pLOF	PHYKPL
5.7469686110125e-158	0.118418444165697	0.837	0.7	1.12680813556122e-153	pLOF	DUSP1
6.71434500758555e-158	0.167624190655324	0.739	0.581	1.3164816256373e-153	pLOF	CLN8
1.42757808901998e-157	0.245439057912902	0.527	0.306	2.79905235914148e-153	pLOF	C1orf168
3.12563908867409e-157	0.204584087386056	0.613	0.411	6.12844056116328e-153	pLOF	MFN2
9.61866675276006e-157	0.126099847417069	0.868	0.76	1.88593199021367e-152	pLOF	TMCO4
5.27370060274382e-155	0.252462805681518	0.548	0.342	1.03401447717998e-150	pLOF	MAL
1.19787577288821e-154	0.280758237002088	0.405	0.194	2.34867502790192e-150	pLOF	DUSP4
1.27626972445359e-154	0.116452910539049	0.853	0.737	2.50238204873616e-150	pLOF	STK10
1.47628169620812e-154	0.125270655095413	0.9	0.835	2.89454552175526e-150	pLOF	CELSR1
2.73457743500448e-154	0.140578854893747	0.825	0.703	5.36168597681329e-150	pLOF	RAP1GAP
1.45328178011118e-153	0.170999168483974	0.819	0.652	2.84944958626398e-149	pLOF	BTBD11
2.4668032430063e-153	0.183613563840383	0.635	0.421	4.83666111856246e-149	pLOF	IL20RB
2.80068898130755e-153	0.199106019768399	0.627	0.417	5.49131088564972e-149	pLOF	TBX15
1.47888902626338e-152	0.148309387945791	0.807	0.675	2.89965771379462e-148	pLOF	BRD4
1.5983835491614e-152	0.153190846556196	0.785	0.654	3.13395062484077e-148	pLOF	ACOT11
2.59713919565972e-152	0.163746088699516	0.695	0.512	5.09221082093001e-148	pLOF	MEGF6
3.21591296395962e-151	0.145699970297233	0.879	0.773	6.30544054843563e-147	pLOF	MYO5B
5.88373142234124e-150	0.130724507536579	0.874	0.758	1.15362321997845e-145	pLOF	APP
1.42644197479528e-149	0.103472210679203	0.891	0.819	2.7968247799811e-145	pLOF	SQSTM1
1.05369183788371e-147	0.174376249759032	0.706	0.518	2.06597358653859e-143	pLOF	IFFO2
5.07333974165379e-147	0.143418834199267	0.788	0.659	9.94729723146058e-143	pLOF	CLCN3
7.15795043376545e-147	0.279387789379977	0.384	0.173	1.40345934154839e-142	pLOF	KY
3.92645650347853e-146	0.183084696072788	0.711	0.541	7.69860326637034e-142	pLOF	PKD2
4.03868910911549e-146	0.151697384307534	0.749	0.587	7.91865773624274e-142	pLOF	AK2
8.61392507320581e-146	0.106239124605733	0.893	0.81	1.68893228910346e-141	pLOF	LARP1
1.39531066180162e-145	0.233203649648705	0.461	0.282	2.73578561459444e-141	pLOF	SIMC1
3.53388616703993e-145	0.2376049816099	0.35	0.155	6.92889060771519e-141	pLOF	PRSS8
7.00974200699697e-144	0.20388109453828	0.563	0.362	1.3744001153119e-139	pLOF	XXbac-BPG246D15.9
8.59391853915709e-144	0.265774219731105	0.457	0.24	1.68500960797253e-139	pLOF	C10orf128
1.73515480614201e-142	0.132238038644627	0.76	0.623	3.40211802840264e-138	pLOF	RNF44
1.98427317194427e-141	0.137192407475869	0.849	0.751	3.89056440823113e-137	pLOF	RP11-192H23.4
1.32633080262786e-140	0.20641620139204	0.537	0.334	2.60053680471245e-136	pLOF	DSP
1.57910238158982e-140	0.12325025971233	0.894	0.813	3.09614603958315e-136	pLOF	BCL2L1
5.56370356612341e-140	0.169875495595444	0.697	0.528	1.09087535820982e-135	pLOF	MFHAS1
5.59593761289264e-140	0.135757215376578	0.808	0.678	1.09719548775986e-135	pLOF	DNMT3A
1.80864606601233e-139	0.199783233891533	0.502	0.313	3.54621234163038e-135	pLOF	ARSI
1.81742409326262e-139	0.221959668715585	0.53	0.326	3.56342341966001e-135	pLOF	CNDP1
2.34754534459742e-139	0.195907965500702	0.672	0.462	4.60283215715215e-135	pLOF	NOX4
7.21863359852867e-139	0.169721059789469	0.713	0.55	1.41535748966352e-134	pLOF	PISD
7.39815404263043e-139	0.151920909171665	0.784	0.667	1.45055606313855e-134	pLOF	ABHD2
1.05931369314276e-137	0.236469713553809	0.445	0.239	2.07699635814501e-133	pLOF	LRRN4
1.73288871764331e-137	0.159568977635785	0.71	0.552	3.39767490868323e-133	pLOF	PSAP
2.1457223492357e-137	0.140816135716216	0.866	0.771	4.20711781014644e-133	pLOF	CFLAR
2.26591662060339e-137	0.150368825555251	0.734	0.583	4.44278271801706e-133	pLOF	STOML1
3.8942495492793e-137	0.158796070635515	0.791	0.657	7.63545509127192e-133	pLOF	VPS13D
1.14861557991296e-136	0.163555608403561	0.694	0.533	2.25209056753535e-132	pLOF	GSR
2.04087502766544e-136	0.12825064149494	0.853	0.733	4.00154366674362e-132	pLOF	ZBTB38
4.53865415500409e-136	0.140797658141231	0.733	0.566	8.89893920171652e-132	pLOF	VASN
1.52318089154044e-135	0.151951152933741	0.785	0.66	2.98650077404335e-131	pLOF	PLIN2
4.69594477235272e-135	0.232620483913588	0.42	0.233	9.20733891515198e-131	pLOF	SPINK13
5.08144217251446e-135	0.205172377682636	0.608	0.406	9.9631836676491e-131	pLOF	LAMB3
2.6740670209547e-134	0.173060750124305	0.708	0.532	5.24304320798589e-130	pLOF	NHSL2
2.72744615334638e-134	0.271633339694313	0.332	0.147	5.34770367286624e-130	pLOF	POPDC2
3.81359551879766e-134	0.174764501344081	0.617	0.413	7.47731673370657e-130	pLOF	CNGB1
1.729656004881e-133	0.126524884349306	0.906	0.816	3.39133652877018e-129	pLOF	SPATS2L
3.99951845110179e-133	0.178024268377611	0.708	0.545	7.84185582707528e-129	pLOF	AKAP12
2.17600454680627e-132	0.137017144690259	0.795	0.66	4.26649211492305e-128	pLOF	MFAP3
2.99291976885373e-132	0.229788998716419	0.424	0.223	5.86821779079151e-128	pLOF	SULT4A1
5.56138052826781e-131	0.194692977951825	0.567	0.368	1.09041988017747e-126	pLOF	RRAD
3.92100450893596e-130	0.15350325280102	0.79	0.663	7.68791354067074e-126	pLOF	MSN
