Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
MSigDB Pathway	REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	Genes involved in Purine ribonucleoside monophosphate biosynthesis	127	1.398998e-06	0.001846677	1.454077e-05	5.978374	2.007235	12	0.0005194707	0.00310559	191	0.04733319	1	0.3271194	3.534679	0.8487334	3	11	0.002155172	0.2727273	MSigDB Pathway	IFNG
GO Biological Process	GO:0050716	positive regulation of interleukin-1 secretion	444	1.471357e-06	0.01536097	3.459677e-05	3.626834	5.514452	20	0.001427136	0.005175983	510	0.009945457	1	0.2035894	3.600136	1.388837	5	18	0.003591954	0.2777778	GO Biological Process	IFNG
GO Biological Process	GO:0046219	indolalkylamine biosynthetic process	446	1.525558e-06	0.01592683	3.571037e-05	5.927667	2.024405	12	0.0005239144	0.00310559	3206	0.330705	1	1	2.592098	0.3857879	1	5	0.0007183908	0.2	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_UNFOLDED_PROTEIN_RESPONSE	Genes involved in Unfolded Protein Response	129	1.569202e-06	0.002071347	1.605695e-05	2.465214	14.6032	36	0.003779295	0.00931677	748	0.551285	1	0.9728559	1.009908	5.941134	6	77	0.004310345	0.07792208	MSigDB Pathway	IFNG
GO Biological Process	GO:0002675	positive regulation of acute inflammatory response	447	1.578155e-06	0.01647594	3.685892e-05	2.847819	9.832086	28	0.002544536	0.007246377	650	0.01948084	1	0.3128923	3.085831	1.620309	5	21	0.003591954	0.2380952	GO Biological Process	IFNG
MSigDB Pathway	KEGG_STEROID_BIOSYNTHESIS	Steroid biosynthesis	130	1.622898e-06	0.002142225	1.647866e-05	4.364255	3.666147	16	0.0009487958	0.004140787	169	0.0373179	1	0.2914771	3.049527	1.311679	4	17	0.002873563	0.2352941	MSigDB Pathway	IFNG
GO Biological Process	GO:0002636	positive regulation of germinal center formation	449	1.636957e-06	0.01708983	3.806198e-05	10.30457	0.7763545	8	0.0002009199	0.002070393	602	0.01693118	1	0.2936238	8.640326	0.2314728	2	3	0.001436782	0.6666667	GO Biological Process	IFNG
GO Biological Process	GO:0051447	negative regulation of meiotic cell cycle	451	1.668592e-06	0.0174201	3.86255e-05	10.27765	0.7783882	8	0.0002014462	0.002070393	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	Genes involved in p75NTR recruits signalling complexes	131	1.830926e-06	0.002416822	1.844903e-05	4.322659	3.701425	16	0.0009579257	0.004140787	426	0.2063126	1	0.6392785	2.356452	0.8487334	2	11	0.001436782	0.1818182	MSigDB Pathway	IFNG
GO Biological Process	GO:0006268	DNA unwinding involved in DNA replication	459	1.937783e-06	0.02023045	4.407506e-05	10.06947	0.7944811	8	0.000205611	0.002070393	4058	0.4740263	1	1	1.620061	0.6172607	1	8	0.0007183908	0.125	GO Biological Process	IFNG
GO Biological Process	GO:0010574	regulation of vascular endothelial growth factor production	461	2.082453e-06	0.02174081	4.716011e-05	2.59379	12.33716	32	0.003192847	0.008281573	717	0.02835275	1	0.412835	2.817498	1.774624	5	23	0.003591954	0.2173913	GO Biological Process	IFNG
GO Biological Process	GO:0071803	positive regulation of podosome assembly	462	2.086293e-06	0.0217809	4.71448e-05	9.968095	0.8025606	8	0.000207702	0.002070393	1066	0.07242744	1	0.7093269	4.320163	0.4629455	2	6	0.001436782	0.3333333	GO Biological Process	IFNG
GO Biological Process	GO:0043029	T cell homeostasis	464	2.130814e-06	0.0222457	4.794331e-05	2.802285	9.991846	28	0.002585882	0.007246377	483	0.008143675	1	0.1760248	2.926562	2.391885	7	31	0.005028736	0.2258065	GO Biological Process	IFNG
GO Biological Process	GO:0001676	long-chain fatty acid metabolic process	466	2.184738e-06	0.02280866	4.894563e-05	2.119331	22.64866	48	0.005861454	0.01242236	2249	0.1890851	1	0.877745	1.405354	6.40408	9	83	0.006465517	0.1084337	GO Biological Process	IFNG
GO Biological Process	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	467	2.185435e-06	0.02281594	4.885641e-05	2.202612	19.97629	44	0.005169846	0.01138716	2720	0.2420137	1	0.9289055	1.296049	7.715759	10	100	0.007183908	0.1	GO Biological Process	IFNG
GO Biological Process	GO:0045624	positive regulation of T-helper cell differentiation	468	2.187903e-06	0.02284171	4.880707e-05	3.53076	5.664503	20	0.001465969	0.005175983	981	0.0595895	1	0.6341635	3.240122	0.925891	3	12	0.002155172	0.25	GO Biological Process	IFNG
MSigDB Pathway	PID_IL12_STAT4PATHWAY	IL12 signaling mediated by STAT4	132	2.262904e-06	0.002987033	2.262904e-05	2.793208	10.02432	28	0.002594285	0.007246377	178	0.03822991	1	0.2835027	2.356452	2.5462	6	33	0.004310345	0.1818182	MSigDB Pathway	IFNG
GO Biological Process	GO:0010744	positive regulation of macrophage derived foam cell differentiation	472	2.305428e-06	0.02406867	5.099294e-05	3.082154	7.786763	24	0.002015208	0.00621118	690	0.02419739	1	0.366117	3.45613	1.157364	4	15	0.002873563	0.2666667	GO Biological Process	IFNG
GO Biological Process	GO:0009595	detection of biotic stimulus	473	2.314102e-06	0.02415922	5.107659e-05	3.517316	5.686154	20	0.001471572	0.005175983	1117	0.07360383	1	0.6879355	2.468664	1.620309	4	21	0.002873563	0.1904762	GO Biological Process	IFNG
GO Biological Process	GO:0006636	unsaturated fatty acid biosynthetic process	474	2.339578e-06	0.02442519	5.152995e-05	2.420802	14.8711	36	0.003848629	0.00931677	1582	0.1114072	1	0.735203	1.711763	4.089352	7	53	0.005028736	0.1320755	GO Biological Process	IFNG
GO Biological Process	GO:0014908	myotube differentiation involved in skeletal muscle regeneration	476	2.427459e-06	0.02534267	5.324091e-05	9.763062	0.8194151	8	0.0002120639	0.002070393	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	Genes involved in Regulation of Hypoxia-inducible Factor (HIF) by Oxygen	134	2.731631e-06	0.003605753	2.69086e-05	3.050893	7.86655	24	0.002035857	0.00621118	147	0.02835275	1	0.2545961	2.817498	1.774624	5	23	0.003591954	0.2173913	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_RARRXR_PATHWAY	Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells	135	2.7428e-06	0.003620496	2.681849e-05	3.476772	5.752462	20	0.001488732	0.005175983	299	0.1039138	1	0.4587499	2.592098	1.157364	3	15	0.002155172	0.2	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	Genes involved in Signaling by TGF-beta Receptor Complex	136	2.799577e-06	0.003695442	2.717236e-05	2.099372	22.86398	48	0.005917178	0.01242236	564	0.316469	1	0.7406721	1.296049	4.629455	6	60	0.004310345	0.1	MSigDB Pathway	IFNG
GO Biological Process	GO:0002906	negative regulation of mature B cell apoptotic process	481	2.907254e-06	0.03035173	6.310131e-05	9.523862	0.8399954	8	0.0002173901	0.002070393	753	0.03213455	1	0.4455308	6.480244	0.3086303	2	4	0.001436782	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0006885	regulation of pH	483	3.146903e-06	0.03285367	6.802002e-05	2.267691	17.63909	40	0.004564981	0.01035197	569	0.01327379	1	0.2435472	2.332888	3.857879	9	50	0.006465517	0.18	GO Biological Process	IFNG
GO Biological Process	GO:2001198	regulation of dendritic cell differentiation	484	3.173294e-06	0.03312919	6.844874e-05	9.409651	0.850191	8	0.0002200287	0.002070393	1429	0.09633189	1	0.7037823	3.702997	0.5401031	2	7	0.001436782	0.2857143	GO Biological Process	IFNG
GO Biological Process	GO:0060670	branching involved in labyrinthine layer morphogenesis	485	3.181518e-06	0.03321505	6.848463e-05	4.135783	3.868675	16	0.00100121	0.004140787	1631	0.1220709	1	0.7813735	3.240122	0.6172607	2	8	0.001436782	0.25	GO Biological Process	IFNG
GO Biological Process	GO:0071025	RNA surveillance	486	3.189341e-06	0.03329672	6.851177e-05	9.403109	0.8507825	8	0.0002201818	0.002070393	1066	0.07242744	1	0.7093269	4.320163	0.4629455	2	6	0.001436782	0.3333333	GO Biological Process	IFNG
GO Biological Process	GO:0034143	regulation of toll-like receptor 4 signaling pathway	487	3.256415e-06	0.03399697	6.980898e-05	4.128044	3.875928	16	0.001003087	0.004140787	301	0.002065931	1	0.07165555	4.984803	1.003049	5	13	0.003591954	0.3846154	GO Biological Process	IFNG
GO Biological Process	GO:0015808	L-alanine transport	488	3.303892e-06	0.03449263	7.068162e-05	5.490572	2.185565	12	0.0005656223	0.00310559	3537	0.3823605	1	1	2.160081	0.4629455	1	6	0.0007183908	0.1666667	GO Biological Process	IFNG
GO Biological Process	GO:0032652	regulation of interleukin-1 production	489	3.310869e-06	0.03456547	7.068604e-05	2.382432	15.11061	36	0.003910613	0.00931677	334	0.002895389	1	0.09050258	2.91611	3.086303	9	40	0.006465517	0.225	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_NO2IL12_PATHWAY	NO2-dependent IL 12 Pathway in NK cells	140	3.427229e-06	0.004523942	3.231387e-05	3.424084	5.840978	20	0.00151164	0.005175983	169	0.0373179	1	0.2914771	3.049527	1.311679	4	17	0.002873563	0.2352941	MSigDB Pathway	IFNG
GO Biological Process	GO:0060674	placenta blood vessel development	490	3.521145e-06	0.03676075	7.502195e-05	2.52702	12.66314	32	0.003277209	0.008281573	628	0.01802756	1	0.2996938	2.777248	2.160412	6	28	0.004310345	0.2142857	GO Biological Process	IFNG
GO Biological Process	GO:0031642	negative regulation of myelination	492	3.591171e-06	0.03749183	7.62029e-05	5.445015	2.203851	12	0.0005703547	0.00310559	471	0.007675735	1	0.1701373	6.480244	0.4629455	3	6	0.002155172	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0097028	dendritic cell differentiation	493	3.617062e-06	0.03776213	7.659661e-05	2.999544	8.001215	24	0.002070708	0.00621118	3188	0.3248821	1	1	1.495441	2.006097	3	26	0.002155172	0.1153846	GO Biological Process	IFNG
GO Biological Process	GO:0002548	monocyte chemotaxis	494	3.685299e-06	0.03847452	7.788365e-05	3.407023	5.870227	20	0.00151921	0.005175983	730	0.03033996	1	0.433903	3.240122	1.234521	4	16	0.002873563	0.25	GO Biological Process	IFNG
GO Biological Process	GO:0045721	negative regulation of gluconeogenesis	498	3.947668e-06	0.04121365	8.275834e-05	5.393669	2.224831	12	0.0005757843	0.00310559	1631	0.1220709	1	0.7813735	3.240122	0.6172607	2	8	0.001436782	0.25	GO Biological Process	IFNG
GO Biological Process	GO:0002227	innate immune response in mucosa	499	4.000686e-06	0.04176716	8.370173e-05	9.113341	0.8778339	8	0.0002271827	0.002070393	896	0.05084354	1	0.592418	5.184195	0.3857879	2	5	0.001436782	0.4	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	Genes involved in Keratan sulfate biosynthesis	141	4.020821e-06	0.005307484	3.764173e-05	2.980316	8.052837	24	0.002084068	0.00621118	579	0.3248821	1	0.7406639	1.495441	2.006097	3	26	0.002155172	0.1153846	MSigDB Pathway	IFNG
MSigDB Pathway	SIG_CD40PATHWAYMAP	Genes related to CD40 signaling	142	4.864807e-06	0.006421545	4.522215e-05	2.486289	12.87059	32	0.003330898	0.008281573	186	0.04350425	1	0.3087398	2.287145	2.623358	6	34	0.004310345	0.1764706	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	Genes involved in Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	143	4.872292e-06	0.006431425	4.4975e-05	3.341907	5.984607	20	0.001548811	0.005175983	152	0.03033996	1	0.2634786	3.240122	1.234521	4	16	0.002873563	0.25	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_TPO_PATHWAY	TPO Signaling Pathway	144	4.955509e-06	0.006541272	4.54255e-05	2.676231	10.46247	28	0.00270768	0.007246377	84	0.008384033	1	0.1317491	3.240122	1.851782	6	24	0.004310345	0.25	MSigDB Pathway	IFNG
MSigDB Pathway	PID_NFKAPPABCANONICALPATHWAY	Canonical NF-kappaB pathway	146	6.132626e-06	0.008095066	5.544566e-05	2.904283	8.263657	24	0.002138627	0.00621118	265	0.08470475	1	0.4219255	2.356452	1.697467	4	22	0.002873563	0.1818182	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_P75NTR_SIGNALS_VIA_NFKB	Genes involved in p75NTR signals via NF-kB	147	6.67836e-06	0.008815435	5.996895e-05	3.89417	4.108707	16	0.00106333	0.004140787	504	0.2652014	1	0.6945751	1.993921	1.003049	2	13	0.001436782	0.1538462	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	Genes involved in Activation of the AP-1 family of transcription factors	148	7.309065e-06	0.009647966	6.518896e-05	3.865458	4.139225	16	0.001071228	0.004140787	165	0.03646828	1	0.2917462	3.888147	0.7715759	3	10	0.002155172	0.3	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	Genes involved in RNA Polymerase III Transcription Initiation From Type 2 Promoter	150	7.509097e-06	0.009912008	6.608005e-05	3.856897	4.148413	16	0.001073606	0.004140787	291	0.09656833	1	0.4380419	2.253998	1.774624	4	23	0.002873563	0.173913	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Genes involved in Antigen processing-Cross presentation	152	8.735721e-06	0.01153115	7.586284e-05	2.276332	15.81491	36	0.004092887	0.00931677	319	0.1151946	1	0.4766673	1.576276	5.709661	9	74	0.006465517	0.1216216	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_BIOPEPTIDES_PATHWAY	Bioactive Peptide Induced Signaling Pathway	154	9.096655e-06	0.01200758	7.797133e-05	2.408163	13.28814	32	0.003438958	0.008281573	182	0.04006776	1	0.2906013	2.160081	3.240619	7	42	0.005028736	0.1666667	MSigDB Pathway	IFNG
MSigDB Pathway	ST_GRANULE_CELL_SURVIVAL_PATHWAY	Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.	155	9.120989e-06	0.01203971	7.767552e-05	2.586813	10.82413	28	0.002801276	0.007246377	595	0.3466288	1	0.7689916	1.440054	2.083255	3	27	0.002155172	0.1111111	MSigDB Pathway	IFNG
MSigDB Pathway	PID_RETINOIC_ACID_PATHWAY	Retinoic acid receptors-mediated signaling	156	1.005934e-05	0.01327833	8.511749e-05	2.395694	13.3573	32	0.003456858	0.008281573	144	0.02492271	1	0.2284582	2.592098	2.314728	6	30	0.004310345	0.2	MSigDB Pathway	IFNG
MSigDB Pathway	PID_S1P_S1P4_PATHWAY	S1P4 pathway	157	1.022473e-05	0.01349664	8.596588e-05	3.759938	4.25539	16	0.001101291	0.004140787	273	0.08797049	1	0.4253518	2.777248	1.080206	3	14	0.002155172	0.2142857	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	Genes involved in Keratan sulfate/keratin metabolism	159	1.16306e-05	0.01535239	9.655592e-05	2.790989	8.599102	24	0.00222544	0.00621118	649	0.4112016	1	0.8363422	1.296049	2.314728	3	30	0.002155172	0.1	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_EGF_PATHWAY	EGF Signaling Pathway	162	1.334581e-05	0.01761647	0.0001087436	2.360776	13.55486	32	0.003507987	0.008281573	82	0.008143675	1	0.1310933	2.926562	2.391885	7	31	0.005028736	0.2258065	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_IL5_PATHWAY	IL 5 Signaling Pathway	163	1.491686e-05	0.01969026	0.0001207991	4.712053	2.546661	12	0.0006590737	0.00310559	396	0.1774072	1	0.5913573	2.592098	0.7715759	2	10	0.001436782	0.2	MSigDB Pathway	IFNG
MSigDB Pathway	PID_FRA_PATHWAY	Validated transcriptional targets of AP1 family members Fra1 and Fra2	164	1.584328e-05	0.02091313	0.0001275191	2.339676	13.67711	32	0.003539624	0.008281573	372	0.1532177	1	0.5436757	1.751417	2.854831	5	37	0.003591954	0.1351351	MSigDB Pathway	IFNG
MSigDB Pathway	PID_INTEGRIN_A9B1_PATHWAY	Alpha9 beta1 integrin signaling events	165	1.587106e-05	0.0209498	0.0001269685	2.506786	11.16968	28	0.002890705	0.007246377	96	0.01032582	1	0.14198	3.110517	1.92894	6	25	0.004310345	0.24	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	Genes involved in Pre-NOTCH Transcription and Translation	166	1.689228e-05	0.02229781	0.0001343242	2.497843	11.20967	28	0.002901054	0.007246377	54	0.003604435	1	0.08810841	3.360127	2.083255	7	27	0.005028736	0.2592593	MSigDB Pathway	IFNG
MSigDB Pathway	PID_TNFPATHWAY	TNF receptor signaling pathway	167	1.916089e-05	0.02529237	0.0001514513	2.191519	16.42696	36	0.004251284	0.00931677	135	0.02311788	1	0.2260415	2.253998	3.549249	8	46	0.005747126	0.173913	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	Genes involved in JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	168	2.139222e-05	0.02823773	0.0001680817	2.685235	8.937766	24	0.002313086	0.00621118	152	0.03033996	1	0.2634786	3.240122	1.234521	4	16	0.002873563	0.25	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Genes involved in Regulation of mRNA Stability by Proteins that Bind AU-rich Elements	169	2.211454e-05	0.02919119	0.000172729	2.078962	19.24037	40	0.004979391	0.01035197	566	0.3211026	1	0.7488612	1.234332	6.481237	8	84	0.005747126	0.0952381	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_ER_PHAGOSOME_PATHWAY	Genes involved in ER-Phagosome pathway	170	2.510178e-05	0.03313435	0.0001949079	2.441341	11.46911	28	0.002968195	0.007246377	403	0.1780215	1	0.5830977	1.512057	4.629455	7	60	0.005028736	0.1166667	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	Genes involved in Base-free sugar-phosphate removal via the single-nucleotide replacement pathway	171	2.582382e-05	0.03408744	0.0001993418	7.013505	1.140656	8	0.000295201	0.002070393	396	0.1774072	1	0.5913573	2.592098	0.7715759	2	10	0.001436782	0.2	MSigDB Pathway	IFNG
MSigDB Pathway	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway.	172	2.629112e-05	0.03470428	0.0002017691	2.062389	19.39499	40	0.005019406	0.01035197	341	0.1302755	1	0.5042923	1.728065	3.472091	6	45	0.004310345	0.1333333	MSigDB Pathway	IFNG
MSigDB Pathway	PID_INTEGRIN2_PATHWAY	Beta2 integrin cell surface interactions	173	2.855595e-05	0.03769385	0.0002178835	3.449174	4.638792	16	0.001200515	0.004140787	635	0.3898473	1	0.8103912	1.34074	2.23757	3	29	0.002155172	0.1034483	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Antigen processing and presentation	174	3.01173e-05	0.03975484	0.0002284761	2.626733	9.136826	24	0.002364603	0.00621118	655	0.4224836	1	0.8514173	1.134043	6.172607	7	80	0.005028736	0.0875	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	Genes involved in Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	175	3.056432e-05	0.0403449	0.0002305423	2.259429	14.16287	32	0.003665338	0.008281573	552	0.3008778	1	0.7194904	1.440054	2.777673	4	36	0.002873563	0.1111111	MSigDB Pathway	IFNG
MSigDB Pathway	PID_RXR_VDR_PATHWAY	RXR and RAR heterodimerization with other nuclear receptor	179	4.418315e-05	0.05832176	0.0003258199	2.561893	9.368072	24	0.002424449	0.00621118	345	0.1363735	1	0.5217769	1.993921	2.006097	4	26	0.002873563	0.1538462	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	Genes involved in N-glycan antennae elongation in the medial/trans-Golgi	180	4.442951e-05	0.05864695	0.0003258164	2.360771	11.86053	28	0.003069496	0.007246377	92	0.009945457	1	0.1426957	3.600136	1.388837	5	18	0.003591954	0.2777778	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	Genes involved in Amino acid and oligopeptide SLC transporters	181	4.680508e-05	0.06178271	0.0003413409	2.096079	17.17492	36	0.004444856	0.00931677	246	0.07368394	1	0.3953772	1.890071	3.703564	7	48	0.005028736	0.1458333	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_FANCONI_ANEMIA_PATHWAY	Genes involved in Fanconi Anemia pathway	185	5.327895e-05	0.07032821	0.0003801525	2.814281	7.10661	20	0.001839185	0.005175983	242	0.07360383	1	0.4014754	2.468664	1.620309	4	21	0.002873563	0.1904762	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_ASTHMA	Asthma	187	5.881989e-05	0.07764225	0.0004151992	4.079777	2.941338	12	0.0007612157	0.00310559	613	0.3683044	1	0.7930861	1.388624	2.160412	3	28	0.002155172	0.1071429	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	Genes involved in Interleukin-3, 5 and GM-CSF signaling	188	6.037067e-05	0.07968928	0.0004238792	2.177192	14.69783	32	0.003803786	0.008281573	325	0.1202778	1	0.4885129	1.767339	3.394934	6	44	0.004310345	0.1363636	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_EGFR_SMRTE_PATHWAY	Map Kinase Inactivation of SMRT Corepressor	189	6.117188e-05	0.08074688	0.0004272322	2.785338	7.180457	20	0.001858296	0.005175983	191	0.04733319	1	0.3271194	3.534679	0.8487334	3	11	0.002155172	0.2727273	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_GH_PATHWAY	Growth Hormone Signaling Pathway	190	6.308874e-05	0.08327714	0.0004383007	2.311776	12.1119	28	0.00313455	0.007246377	231	0.0684998	1	0.3914274	2.234567	2.23757	5	29	0.003591954	0.1724138	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	Genes involved in NRIF signals cell death from the nucleus	191	6.797752e-05	0.08973033	0.0004697923	4.016947	2.987343	12	0.000773122	0.00310559	541	0.2947399	1	0.7191436	1.851498	1.080206	2	14	0.001436782	0.1428571	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Genes involved in Initial triggering of complement	192	6.848571e-05	0.09040114	0.0004708393	4.013732	2.989736	12	0.0007737413	0.00310559	504	0.2652014	1	0.6945751	1.993921	1.003049	2	13	0.001436782	0.1538462	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_STRIATED_MUSCLE_CONTRACTION	Genes involved in Striated Muscle Contraction	193	7.27728e-05	0.0960601	0.0004977207	2.749173	7.274916	20	0.001882742	0.005175983	369	0.150908	1	0.5398335	1.920072	2.083255	4	27	0.002873563	0.1481481	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	Genes involved in Resolution of AP sites via the single-nucleotide replacement pathway	194	9.077397e-05	0.1198216	0.0006176373	5.846443	1.368353	8	0.0003541287	0.002070393	465	0.2356572	1	0.6689624	2.160081	0.925891	2	12	0.001436782	0.1666667	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	Genes involved in Membrane binding and targetting of GAG proteins	195	9.757015e-05	0.1287926	0.0006604749	5.784696	1.38296	8	0.0003579088	0.002070393	717	0.5146272	1	0.9474308	1.440054	0.6944183	1	9	0.0007183908	0.1111111	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	Genes involved in Notch-HLH transcription pathway	196	0.0001081105	0.1427059	0.0007280911	3.071495	5.20919	16	0.001348134	0.004140787	98	0.01056425	1	0.142294	4.320163	0.925891	4	12	0.002873563	0.3333333	MSigDB Pathway	IFNG
MSigDB Pathway	PID_LKB1_PATHWAY	LKB1 signaling events	197	0.000113266	0.1495111	0.0007589397	2.101872	15.22452	32	0.003940093	0.008281573	228	0.06719768	1	0.3890392	1.930286	3.626407	7	47	0.005028736	0.1489362	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	Genes involved in Downregulation of TGF-beta receptor signaling	198	0.0001141188	0.1506368	0.000760792	2.404356	9.981884	24	0.002583303	0.00621118	441	0.2176201	1	0.6513799	1.851498	1.620309	3	21	0.002155172	0.1428571	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Intestinal immune network for IgA production	200	0.0001195588	0.1578176	0.0007890881	2.223321	12.59377	28	0.003259258	0.007246377	341	0.1302755	1	0.5042923	1.728065	3.472091	6	45	0.004310345	0.1333333	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_BASE_EXCISION_REPAIR	Base excision repair	201	0.0001360432	0.179577	0.000893418	3.008954	5.317463	16	0.001376155	0.004140787	491	0.2480917	1	0.6669675	1.570968	2.5462	4	33	0.002873563	0.1212121	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_MCALPAIN_PATHWAY	mCalpain and friends in Cell motility	206	0.0001645693	0.2172315	0.001054522	2.344638	10.23612	24	0.0026491	0.00621118	96	0.01032582	1	0.14198	3.110517	1.92894	6	25	0.004310345	0.24	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	Valine, leucine and isoleucine biosynthesis	207	0.0001836685	0.2424424	0.001171219	2.928378	5.463775	16	0.00141402	0.004140787	79	0.007495199	1	0.1252362	4.712905	0.8487334	4	11	0.002873563	0.3636364	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	Genes involved in Activation of NF-kappaB in B Cells	208	0.0002186546	0.2886241	0.001387616	2.023742	15.8123	32	0.004092209	0.008281573	439	0.2107804	1	0.6337816	1.440054	4.860928	7	63	0.005028736	0.1111111	MSigDB Pathway	IFNG
