Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0032148	activation of protein kinase B activity	116	7.023391e-05	0.733242	0.006321052	3.731485	3.483867	13	0.002730304	0.01018809	321	0.002799241	1	0.09104074	3.9016	1.53783	6	17	0.003676471	0.3529412
GO Biological Process	GO:0001562	response to protozoan	117	7.089358e-05	0.740129	0.006325889	4.735506	2.111707	10	0.001654943	0.007836991	1331	0.08643767	1	0.6779934	2.32727	1.718752	4	19	0.00245098	0.2105263
GO Biological Process	GO:0035878	nail development	118	7.224862e-05	0.7542756	0.006392166	7.149025	0.9791545	7	0.0007673625	0.005485893	417	0.006425177	1	0.1608605	6.632721	0.4523031	3	5	0.001838235	0.6
GO Biological Process	GO:0043268	positive regulation of potassium ion transport	120	7.69316e-05	0.8031659	0.006693049	3.697104	3.516266	13	0.002755694	0.01018809	103	2.92219e-05	0.3050766	0.002961909	5.527267	1.44737	8	16	0.004901961	0.5
GO Biological Process	GO:0050711	negative regulation of interleukin-1 secretion	121	7.792323e-05	0.8135185	0.006723294	11.85383	0.4218046	5	0.0003305678	0.003918495	3116	0.3156604	1	1	2.763634	0.3618425	1	4	0.0006127451	0.25
GO Biological Process	GO:0032715	negative regulation of interleukin-6 production	125	8.343594e-05	0.8710712	0.00696857	5.174922	1.739157	9	0.001362976	0.007053292	1331	0.08643767	1	0.6779934	2.32727	1.718752	4	19	0.00245098	0.2105263
GO Biological Process	GO:0046634	regulation of alpha-beta T cell activation	128	9.826251e-05	1	0.008014536	2.4205	9.915307	24	0.007770617	0.01880878	424	0.006742897	1	0.1660279	2.210907	5.427637	12	60	0.007352941	0.2
GO Biological Process	GO:0050766	positive regulation of phagocytosis	131	9.954322e-05	1	0.007933063	3.398993	4.118867	14	0.003227952	0.01097179	587	0.01556852	1	0.2768916	2.579391	2.713819	7	30	0.004289216	0.2333333
GO Biological Process	GO:0048146	positive regulation of fibroblast proliferation	132	0.0001036819	1	0.008200296	2.668043	7.496131	20	0.005874711	0.01567398	361	0.0042653	1	0.1233511	2.570822	3.889807	10	43	0.006127451	0.2325581
GO Biological Process	GO:0060263	regulation of respiratory burst	133	0.0001072597	1	0.008419483	5.696141	1.40446	8	0.001100674	0.006269592	4756	0.6126467	1	1	1.105453	0.9046062	1	10	0.0006127451	0.1
GO Biological Process	GO:1900165	negative regulation of interleukin-6 secretion	134	0.0001176825	1	0.009168696	10.84557	0.4610177	5	0.0003612991	0.003918495	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0061180	mammary gland epithelium development	136	0.0001278416	1	0.009813723	2.078781	15.39363	32	0.01206398	0.02507837	216	0.0008981958	1	0.0434128	2.537106	5.518098	14	61	0.008578431	0.2295082
GO Biological Process	GO:0031579	membrane raft organization	137	0.0001354233	1	0.01031985	6.451058	1.085093	7	0.0008503866	0.005485893	397	0.00579574	1	0.1524119	4.913126	0.8141456	4	9	0.00245098	0.4444444
GO Biological Process	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	140	0.0001383103	1	0.010314	7.901213	0.7593771	6	0.0005951231	0.004702194	2899	0.2620501	1	0.9437058	2.009915	0.9950668	2	11	0.00122549	0.1818182
GO Biological Process	GO:0045069	regulation of viral genome replication	141	0.00014028	1	0.01038669	3.12804	4.795335	15	0.0037581	0.01175549	1058	0.05170004	1	0.5101592	1.842422	4.884873	9	54	0.005514706	0.1666667
GO Biological Process	GO:2000270	negative regulation of fibroblast apoptotic process	142	0.0001507515	1	0.01108342	10.2785	0.4864525	5	0.0003812324	0.003918495	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0061097	regulation of protein tyrosine kinase activity	143	0.0001527645	1	0.01115288	2.667642	7.122395	19	0.005581814	0.01489028	328	0.003141975	1	0.1000068	2.533331	4.34211	11	48	0.006740196	0.2291667
GO Biological Process	GO:0006509	membrane protein ectodomain proteolysis	144	0.0001542441	1	0.0111827	4.762984	1.889572	9	0.001480856	0.007053292	1331	0.08643767	1	0.6779934	2.32727	1.718752	4	19	0.00245098	0.2105263
GO Biological Process	GO:0009267	cellular response to starvation	145	0.0001561583	1	0.0112434	2.453214	8.967827	22	0.007028078	0.01724138	2347	0.1746943	1	0.7770807	1.399308	7.146389	10	79	0.006127451	0.1265823
GO Biological Process	GO:0033619	membrane protein proteolysis	148	0.0001690865	1	0.01192745	3.902658	2.818592	11	0.002208928	0.00862069	947	0.04225911	1	0.4658766	2.287145	2.623358	6	29	0.003676471	0.2068966
GO Biological Process	GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	151	0.0001790441	1	0.01237894	6.160042	1.136356	7	0.000890561	0.005485893	628	0.01826939	1	0.3037141	3.684845	1.085527	4	12	0.00245098	0.3333333
GO Biological Process	GO:0007632	visual behavior	158	0.0002085521	1	0.01378028	2.601373	7.303836	19	0.00572401	0.01489028	1059	0.05217885	1	0.5143977	1.922528	4.161188	8	46	0.004901961	0.173913
GO Biological Process	GO:0005981	regulation of glycogen catabolic process	159	0.0002189825	1	0.01437847	7.248975	0.8277032	6	0.0006486702	0.004702194	1987	0.1589701	1	0.8352531	2.763634	0.7236849	2	8	0.00122549	0.25
GO Biological Process	GO:0006612	protein targeting to membrane	161	0.00024811	1	0.01608862	2.150018	12.55803	27	0.009841718	0.02115987	4824	0.6161372	1	1	0.9517149	13.65955	13	151	0.007965686	0.08609272
GO Biological Process	GO:0035754	B cell chemotaxis	164	0.0002589521	1	0.01648451	9.132547	0.5474924	5	0.0004290693	0.003918495	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0061082	myeloid leukocyte cytokine production	165	0.0002595738	1	0.01642394	9.127737	0.5477809	5	0.0004292954	0.003918495	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0003071	renal system process involved in regulation of systemic arterial blood pressure	166	0.0002616292	1	0.01645427	4.019789	2.487693	10	0.001949603	0.007836991	1757	0.1158898	1	0.688611	2.105626	1.899673	4	21	0.00245098	0.1904762
GO Biological Process	GO:0045818	negative regulation of glycogen catabolic process	173	0.0002883679	1	0.01740209	13.03382	0.3068938	4	0.0002405124	0.003134796	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0090150	establishment of protein localization to membrane	175	0.0002991859	1	0.01784858	2.004009	15.469	31	0.01212304	0.02429467	5134	0.7017536	1	1	0.9011849	16.64475	15	184	0.009191176	0.08152174
